Country,State,City,Station,Control Board,Year,Quarter,Month,Day,Tme,Latitude,Longitude,Pollutant_id,Pollutant_max,Pollutant_min,Pollutant_avg,AQI_Value,AQI_Category
India,Andhra_Pradesh,Amaravati,Secretariat,APPCB,2025,Qtr 4,November,18,10:00:00,16.5150833,80.5181667,CO,42,21,28,1.4,Good
India,Andhra_Pradesh,Amaravati,Secretariat,APPCB,2025,Qtr 4,November,18,10:00:00,16.5150833,80.5181667,NH3,4,1,4,1,Good
India,Andhra_Pradesh,Amaravati,Secretariat,APPCB,2025,Qtr 4,November,18,10:00:00,16.5150833,80.5181667,NO2,65,20,30,37.5,Good
India,Andhra_Pradesh,Amaravati,Secretariat,APPCB,2025,Qtr 4,November,18,10:00:00,16.5150833,80.5181667,OZONE,61,19,31,31,Good
India,Andhra_Pradesh,Amaravati,Secretariat,APPCB,2025,Qtr 4,November,18,10:00:00,16.5150833,80.5181667,PM10,160,101,120,113.33,Moderate
India,Andhra_Pradesh,Amaravati,Secretariat,APPCB,2025,Qtr 4,November,18,10:00:00,16.5150833,80.5181667,PM2.5,166,73,105,250,Poor
India,Andhra_Pradesh,Amaravati,Secretariat,APPCB,2025,Qtr 4,November,18,10:00:00,16.5150833,80.5181667,SO2,13,5,8,10,Good
India,Andhra_Pradesh,Anantapur,Gulzarpet,APPCB,2025,Qtr 4,November,18,10:00:00,14.675886,77.593027,CO,49,26,30,1.5,Good
India,Andhra_Pradesh,Anantapur,Gulzarpet,APPCB,2025,Qtr 4,November,18,10:00:00,14.675886,77.593027,NH3,4,4,4,1,Good
India,Andhra_Pradesh,Anantapur,Gulzarpet,APPCB,2025,Qtr 4,November,18,10:00:00,14.675886,77.593027,NO2,23,14,16,20,Good
India,Andhra_Pradesh,Anantapur,Gulzarpet,APPCB,2025,Qtr 4,November,18,10:00:00,14.675886,77.593027,PM10,81,60,71,71,Satisfactory
India,Andhra_Pradesh,Anantapur,Gulzarpet,APPCB,2025,Qtr 4,November,18,10:00:00,14.675886,77.593027,PM2.5,69,55,62,106.67,Moderate
India,Andhra_Pradesh,Anantapur,Gulzarpet,APPCB,2025,Qtr 4,November,18,10:00:00,14.675886,77.593027,SO2,17,14,14,17.5,Good
India,Andhra_Pradesh,Chittoor,Gangineni Cheruvu,APPCB,2025,Qtr 4,November,18,10:00:00,13.20488,79.097889,CO,101,24,32,1.6,Good
India,Andhra_Pradesh,Chittoor,Gangineni Cheruvu,APPCB,2025,Qtr 4,November,18,10:00:00,13.20488,79.097889,NH3,8,6,6,1.5,Good
India,Andhra_Pradesh,Chittoor,Gangineni Cheruvu,APPCB,2025,Qtr 4,November,18,10:00:00,13.20488,79.097889,NO2,23,15,21,26.25,Good
